verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
fuss,active,fuss,yes,,yes,,,,,,,,,,,
gab,active,gab,yes,yes,,,,,,,,,,,,
gall,passive,be galled,,,,,yes,yes,,,,,,,,
gasp,active,gasp,yes,yes,,,,,,,,,,,,
gather,active,gather,,,,,yes,,yes,,yes,,,,,
gauge,active,gauge,,,,,yes,,yes,,yes,,,,,
generalize,active,generalize,yes,,,yes,,,,,,,,,,
giggle,active,giggle,yes,yes,,,,,,,,,,,,
gladden,passive,be gladdened,,,,,yes,yes,,,,,,,,
gloat,active,gloat,yes,yes,,,,,,,,,,,,
gossip,active,gossip,yes,,yes,,,,,,,,,,,
gratify,passive,be gratified,,,,,yes,yes,,,,,,,,
grieve,active,grieve,,,,,yes,yes,,,,,,,,
grieve,passive,be grieved,,,,,yes,yes,,,,,,,,
grimace,active,grimace,yes,yes,,,,,,,,,,,,
grin,active,grin,yes,yes,,,,,,,,,,,,
groan,active,groan,yes,yes,,,,,,,,,,,,
growl,active,growl,yes,yes,,,,,,,,,,,,
grumble,active,grumble,yes,yes,,,,,,,,,,,,
grunt,active,grunt,yes,yes,,,,,,,,,,,,
guarantee,active,guarantee,yes,,,yes,,,,,,,,,,
guarantee,passive,be guaranteed,,,,,yes,,,,,,yes,,,
guess,active,guess,yes,,yes,,yes,,yes,yes,,,,,,
gush,active,gush,yes,yes,,,,,,,,,,,,
hallucinate,active,hallucinate,,,,,yes,,yes,,,yes,,,,
hate,active,hate,,,,,yes,yes,,,,,,,,
hear,active,hear,,,,,yes,,,,,,yes,,,
hearten,passive,be heartened,,,,,yes,yes,,,,,,,,
hint,active,hint,yes,,yes,,,,,,,,,,,
holler,active,holler,yes,yes,,,,,,,,,,,,
hoot,active,hoot,yes,yes,,,,,,,,,,,,
hope,active,hope,,,,,yes,,yes,yes,,,,,,
horrify,passive,be horrified,,,,,yes,yes,,,,,,,,
howl,active,howl,yes,yes,,,,,,,,,,,,
humble,passive,be humbled,,,,,yes,yes,,,,,,,,
hurt,passive,be hurt,,,,,yes,yes,,,,,,,,
hush_up,active,hush up,yes,,,yes,,,,,,,,,,
identify,active,identify,,,,,yes,,yes,,yes,,,,,
ignore,active,ignore,,,,,yes,,yes,yes,,,,,,
imagine,active,imagine,,,,,yes,,yes,yes,,yes,,,,
implore,active,implore,yes,,,yes,,,,,,,,,,
