verb,voice,verb renamed,communicative,private,emotive,cognitive,stative cognitive,eventive cognitive with conclusion,eventive cognitive without conclusion,evidential ,negative,"state 
changing","discourse 
participation","unclear
classification","unclear
usage"
note,active,note,yes,,,,,,,,,,,,
notice,active,notice,,yes,,yes,,yes,,,,,,,
notify,passive,be notified,,yes,,,,,,yes,,,,,
observe,active,observe,,yes,,,,,,yes,,,,,
obsess,passive,be obsessed,,yes,yes,,,,,,,,,,
offend,passive,be offended,,yes,yes,,,,,,,,,,
okay,active,okay,yes,,,,,,,,,,,,
omit,active,omit,,,,,,,,,,,,yes,
ordain,active,ordain,yes,,,,,,,,,,,,
outrage,passive,be outraged,,yes,yes,,,,,,,,,,
overhear,active,overhear,,yes,,,,,,yes,,,,,
overhear,passive,be overheard,,,,,,,,,,,,yes,
overlook,active,overlook,,,,,,,,,,,,yes,
overwhelm,passive,be overwhelmed,,yes,yes,,,,,,,,,,
pain,passive,be pained,,yes,yes,,,,,,,,,,
panic,active,panic,,yes,yes,,,,,,,,,,
panic,passive,be panicked,,yes,yes,,,,,,,,,,
perceive,active,perceive,,yes,,yes,,yes,,,,,,,
perplex,passive,be perplexed,,yes,yes,,,,,,,,,,
persuade,passive,be persuaded,,yes,,,,,,yes,,,,,
pester,passive,be pestered,,,,,,,,,,,,yes,
petrify,passive,be petrified,,yes,yes,,,,,,,,,,
phone,active,phone,yes,,,,,,,,,,,,
picture,active,picture,,yes,,yes,,,yes,,,,,,
piece_together,active,piece together,,yes,,yes,,yes,,,,,,,
pinpoint,active,pinpoint,,yes,,yes,,yes,,,,,,,
pity,active,pity,,yes,yes,,,,,,,,,,
please,passive,be pleased,,yes,yes,,,,,,,,,,
point_out,active,point out,yes,,,,,,,,,,,,
ponder,active,ponder,,yes,,yes,,,yes,,,,,,
posit,active,posit,yes,,,,,,,,,,yes,,
post,active,post,yes,,,,,,,,,,,,
pout,active,pout,yes,,,,,,,,,,,,
praise,active,praise,yes,,,,,,,,,,,,
pray,active,pray,,yes,,yes,,,yes,,,,,,
preach,active,preach,yes,,,,,,,,,,,,
predict,active,predict,yes,,,,,,,,,,,,
prejudge,active,prejudge,,yes,,yes,,yes,,,,,,,
presume,active,presume,,yes,,yes,yes,,,,,,,,
presuppose,active,presuppose,,yes,,yes,yes,,,,,,,,
pretend,active,pretend,yes,,,,,,,,yes,yes,,,
proclaim,active,proclaim,yes,,,,,,,,,,,,
promise,active,promise,yes,,,,,,,,,yes,,,
promise,passive,be promised,,yes,,,,,,yes,,,,,
prophesy,active,prophesy,yes,,,,,,,,,,,,
propose,active,propose,yes,,,,,,,,,,yes,,
prove,active,prove,,yes,,yes,,yes,,,,yes,,,
publicize,active,publicize,yes,,,,,,,,,,,,
publish,active,publish,yes,,,,,,,,,,,,
puzzle,passive,be puzzled,,yes,yes,,,,,,,,,,
quarrel,active,quarrel,yes,,,,,,,,,,yes,,
question,active,question,yes,,,,,,,,,,yes,,
question,passive,be questioned,,,,,,,,,,,,yes,yes
quip,active,quip,yes,,,,,,,,?,,,,
quote,passive,be quoted,?,,,,,,,,,,,,
radio,active,radio,yes,,,,,,,,,,,,
radio,passive,be radioed,,yes,,,,,,yes,,,,,
rant,active,rant,yes,,,,,,,,,,,,
rationalize,active,rationalize,,yes,,yes,,yes,,,,,,,
rave,active,rave,yes,,,,,,,,,,,,
read,active,read,,yes,,,,,,yes,,,,,
reaffirm,active,reaffirm,yes,,,,,,,,,,yes,,
reaffirm,passive,be reaffirmed,,,,,,,,,,,,yes,yes
realize,active,realize,,yes,,yes,,yes,,,,,,,
reason,active,reason,,yes,,yes,,yes,,,,,,,
